Customer ID,Confidence Level,Persona assigned,Registered for digital services,Date of last log in,Date of last log in 2,Persona Name,Persona Nickname
Cust295,4,Do it with me,Yes,21/10/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust296,7,Do it with me,No,22/10/2024,once in 6 months,Basic digital skills,Learning Lerato 3
Cust297,9,Do it myself,Yes,23/10/2024,once in last month,Expert,Self-Serve Sam 2
Cust298,7,Do it with me,No,24/10/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust299,5,Do it with me,No,25/10/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust300,9,Do it myself,Yes,26/10/2024,once in last month,Expert,Self-Serve Sam 2
Cust301,9,Do it myself,Yes,27/10/2024,once in last month,Expert,Self-Serve Sam 2
Cust302,3,Do it with me,Yes,28/10/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust303,3,Do it with me,No,29/10/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust304,9,Do it myself,Yes,30/10/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust305,8,Do it myself,Yes,31/10/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust306,7,Do it with me,Yes,01/11/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust307,5,Do it with me,Yes,02/11/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust308,9,Do it myself,Yes,03/11/2024,once in last month,Expert,Self-Serve Sam 2
Cust309,9,Do it myself,Yes,04/11/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust310,6,Do it with me,Yes,05/11/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust311,7,Do it with me,Yes,06/11/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust312,4,Do it with me,Yes,07/11/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust313,1,Do it for me,Yes,08/11/2024,once in 6 months,Never have never will,Digiphobe Doris 1
Cust314,9,Do it myself,Yes,09/11/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust315,6,Do it with me,No,10/11/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust316,4,Do it with me,No,11/11/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust317,4,Do it with me,Yes,12/11/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust318,9,Do it myself,Yes,13/11/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust319,8,Do it myself,Yes,14/11/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust320,9,Do it myself,Yes,15/11/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust321,6,Do it with me,Yes,16/11/2024,once in 3 months,Task specific,Learning Lerato 2
Cust322,6,Do it with me,Yes,17/11/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust323,9,Do it myself,Yes,18/11/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust324,9,Do it myself,Yes,19/11/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust325,9,Do it myself,Yes,20/11/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust326,6,Do it with me,No,21/11/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust327,9,Do it myself,Yes,22/11/2024,once in last month,Expert,Self-Serve Sam 2
Cust328,3,Do it with me,No,23/11/2024,once in 6 months,Wlling & unable,Tentative Terry 1
Cust329,5,Do it with me,Yes,24/11/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust330,1,Do it for me,No,25/11/2024,once in last month,Never have never will,Digiphobe Doris 1
Cust331,4,Do it with me,Yes,26/11/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust332,2,Do it for me,Yes,27/11/2024,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust333,4,Do it with me,Yes,28/11/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust334,5,Do it with me,No,29/11/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust335,7,Do it with me,No,30/11/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust336,7,Do it with me,No,01/12/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust337,7,Do it with me,Yes,02/12/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust338,6,Do it with me,No,03/12/2024,once in 12 months,Task specific,Learning Lerato 2
Cust339,9,Do it myself,Yes,04/12/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust340,6,Do it with me,Yes,05/12/2024,once in 3 months,Task specific,Learning Lerato 2
Cust341,6,Do it with me,No,06/12/2024,once in last month,Task specific,Learning Lerato 2
Cust342,7,Do it with me,No,07/12/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust343,9,Do it myself,Yes,08/12/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust344,8,Do it myself,Yes,09/12/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust345,9,Do it myself,Yes,10/12/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust346,3,Do it with me,Yes,11/12/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust347,8,Do it myself,No,12/12/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust348,2,Do it for me,No,13/12/2024,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust349,3,Do it with me,Yes,14/12/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust350,9,Do it myself,Yes,15/12/2024,once in last month,Expert,Self-Serve Sam 2
Cust351,9,Do it myself,Yes,16/12/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust352,5,Do it with me,No,17/12/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust353,9,Do it myself,Yes,18/12/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust354,4,Do it with me,Yes,19/12/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust355,3,Do it with me,No,20/12/2024,once in 6 months,Wlling & unable,Tentative Terry 1
Cust356,3,Do it with me,No,21/12/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust357,7,Do it with me,No,22/12/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust358,4,Do it with me,Yes,23/12/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust359,9,Do it myself,Yes,24/12/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust360,9,Do it myself,Yes,25/12/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust361,3,Do it with me,Yes,26/12/2024,once in 12 months,Wlling & unable,Tentative Terry 1
Cust362,9,Do it myself,Yes,27/12/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust363,8,Do it myself,Yes,28/12/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust364,9,Do it myself,Yes,29/12/2024,once in last month,Expert,Self-Serve Sam 2
Cust365,4,Do it with me,Yes,30/12/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust366,9,Do it myself,Yes,31/12/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust367,9,Do it myself,Yes,01/01/2025,once in 3 months,Expert,Self-Serve Sam 2
Cust368,2,Do it for me,No,02/01/2025,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust369,8,Do it myself,Yes,03/01/2025,once in 6 months,Confident,Self-Serve Sam 1
Cust370,9,Do it myself,Yes,04/01/2025,once in last month,Expert,Self-Serve Sam 2
Cust371,8,Do it myself,Yes,05/01/2025,longer than 12 months,Confident,Self-Serve Sam 1
Cust372,9,Do it myself,Yes,06/01/2025,once in last month,Expert,Self-Serve Sam 2
Cust373,5,Do it with me,Yes,07/01/2025,once in last month,Learning the ropes,Learning Lerato 1
Cust374,5,Do it with me,Yes,08/01/2025,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust375,9,Do it myself,Yes,09/01/2025,once in last month,Expert,Self-Serve Sam 2
Cust376,8,Do it myself,Yes,10/01/2025,once in 12 months,Confident,Self-Serve Sam 1
Cust377,1,Do it for me,No,11/01/2025,once in last month,Never have never will,Digiphobe Doris 1
Cust378,9,Do it myself,Yes,12/01/2025,longer than 12 months,Expert,Self-Serve Sam 2
Cust379,2,Do it for me,No,13/01/2025,once in last month,Was online but no longer,Digiphobe Doris 2
Cust380,7,Do it with me,Yes,14/01/2025,once in last month,Basic digital skills,Learning Lerato 3
Cust381,7,Do it with me,Yes,15/01/2025,once in 6 months,Basic digital skills,Learning Lerato 3
Cust382,9,Do it myself,Yes,16/01/2025,once in 12 months,Expert,Self-Serve Sam 2
Cust383,7,Do it with me,Yes,17/01/2025,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust384,4,Do it with me,No,18/01/2025,once in 12 months,Reluctantly online,Tentative Terry 2
Cust385,6,Do it with me,Yes,19/01/2025,longer than 12 months,Task specific,Learning Lerato 2
Cust386,9,Do it myself,Yes,20/01/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust387,7,Do it with me,No,21/01/2025,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust388,3,Do it with me,No,22/01/2025,once in 12 months,Wlling & unable,Tentative Terry 1
Cust389,1,Do it for me,No,23/01/2025,once in 6 months,Never have never will,Digiphobe Doris 1
Cust390,1,Do it for me,No,24/01/2025,once in last month,Never have never will,Digiphobe Doris 1
Cust391,3,Do it with me,Yes,25/01/2025,once in last month,Wlling & unable,Tentative Terry 1
Cust392,7,Do it with me,No,26/01/2025,once in 6 months,Basic digital skills,Learning Lerato 3
Cust393,7,Do it with me,No,27/01/2025,once in 3 months,Basic digital skills,Learning Lerato 3
Cust394,5,Do it with me,Yes,28/01/2025,once in 3 months,Learning the ropes,Learning Lerato 1
Cust395,2,Do it for me,No,29/01/2025,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust396,1,Do it for me,Yes,30/01/2025,once in last month,Never have never will,Digiphobe Doris 1
Cust397,2,Do it for me,No,31/01/2025,once in 12 months,Was online but no longer,Digiphobe Doris 2
Cust398,9,Do it myself,Yes,01/02/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust399,1,Do it for me,No,02/02/2025,once in 3 months,Never have never will,Digiphobe Doris 1
Cust400,2,Do it for me,No,03/02/2025,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust401,7,Do it with me,No,04/02/2025,once in 6 months,Basic digital skills,Learning Lerato 3
Cust402,6,Do it with me,Yes,05/02/2025,once in 6 months,Task specific,Learning Lerato 2
Cust403,2,Do it for me,No,06/02/2025,once in 12 months,Was online but no longer,Digiphobe Doris 2
Cust404,3,Do it with me,Yes,07/02/2025,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust405,3,Do it with me,Yes,08/02/2025,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust406,9,Do it myself,Yes,09/02/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust407,4,Do it with me,No,10/02/2025,once in 12 months,Reluctantly online,Tentative Terry 2
Cust408,9,Do it myself,Yes,11/02/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust409,5,Do it with me,Yes,12/02/2025,once in 12 months,Learning the ropes,Learning Lerato 1
Cust410,2,Do it for me,No,13/02/2025,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust411,8,Do it myself,Yes,14/02/2025,once in last month,Confident,Self-Serve Sam 1
Cust412,4,Do it with me,No,15/02/2025,once in last month,Reluctantly online,Tentative Terry 2
Cust413,6,Do it with me,Yes,16/02/2025,once in last month,Task specific,Learning Lerato 2
Cust414,1,Do it for me,No,17/02/2025,once in 6 months,Never have never will,Digiphobe Doris 1
Cust415,9,Do it myself,Yes,18/02/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust416,6,Do it with me,Yes,19/02/2025,longer than 12 months,Task specific,Learning Lerato 2
Cust417,2,Do it for me,Yes,20/02/2025,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust418,3,Do it with me,Yes,21/02/2025,once in 12 months,Wlling & unable,Tentative Terry 1
Cust419,9,Do it myself,Yes,22/02/2025,once in 12 months,Expert,Self-Serve Sam 2
Cust420,7,Do it with me,Yes,23/02/2025,once in 6 months,Basic digital skills,Learning Lerato 3
Cust421,6,Do it with me,Yes,24/02/2025,once in last month,Task specific,Learning Lerato 2
Cust422,5,Do it with me,No,25/02/2025,once in 6 months,Learning the ropes,Learning Lerato 1
Cust423,9,Do it myself,Yes,26/02/2025,once in last month,Expert,Self-Serve Sam 2
Cust424,9,Do it myself,Yes,27/02/2025,longer than 12 months,Expert,Self-Serve Sam 2
Cust425,7,Do it with me,No,28/02/2025,once in 3 months,Basic digital skills,Learning Lerato 3
Cust426,9,Do it myself,Yes,01/03/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust427,5,Do it with me,No,02/03/2025,once in last month,Learning the ropes,Learning Lerato 1
Cust428,9,Do it myself,Yes,03/03/2025,longer than 12 months,Expert,Self-Serve Sam 2
Cust429,4,Do it with me,No,04/03/2025,once in 3 months,Reluctantly online,Tentative Terry 2
Cust430,3,Do it with me,Yes,05/03/2025,once in last month,Wlling & unable,Tentative Terry 1
Cust431,7,Do it with me,Yes,06/03/2025,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust432,4,Do it with me,Yes,07/03/2025,once in 6 months,Reluctantly online,Tentative Terry 2
Cust433,6,Do it with me,No,08/03/2025,once in 6 months,Task specific,Learning Lerato 2
Cust434,7,Do it with me,Yes,09/03/2025,once in 12 months,Basic digital skills,Learning Lerato 3
Cust435,8,Do it myself,Yes,10/03/2025,once in 6 months,Confident,Self-Serve Sam 1
Cust436,5,Do it with me,Yes,11/03/2025,once in 6 months,Learning the ropes,Learning Lerato 1
Cust437,2,Do it for me,No,12/03/2025,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust438,8,Do it myself,Yes,13/03/2025,once in 6 months,Confident,Self-Serve Sam 1
Cust439,8,Do it myself,Yes,14/03/2025,longer than 12 months,Confident,Self-Serve Sam 1
Cust440,8,Do it myself,No,15/03/2025,once in last month,Confident,Self-Serve Sam 1
Cust441,9,Do it myself,Yes,16/03/2025,once in 3 months,Expert,Self-Serve Sam 2
Cust442,5,Do it with me,No,17/03/2025,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust443,7,Do it with me,Yes,18/03/2025,once in 6 months,Basic digital skills,Learning Lerato 3
Cust444,5,Do it with me,No,19/03/2025,once in 6 months,Learning the ropes,Learning Lerato 1
Cust445,8,Do it myself,No,20/03/2025,once in last month,Confident,Self-Serve Sam 1
Cust446,1,Do it for me,No,21/03/2025,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust447,2,Do it for me,No,22/03/2025,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust448,7,Do it with me,No,23/03/2025,once in 3 months,Basic digital skills,Learning Lerato 3
Cust449,3,Do it with me,Yes,24/03/2025,once in last month,Wlling & unable,Tentative Terry 1
Cust450,7,Do it with me,Yes,25/03/2025,once in last month,Basic digital skills,Learning Lerato 3
Cust451,7,Do it with me,Yes,26/03/2025,once in 12 months,Basic digital skills,Learning Lerato 3
Cust452,7,Do it with me,Yes,27/03/2025,once in 3 months,Basic digital skills,Learning Lerato 3
Cust453,9,Do it myself,Yes,28/03/2025,once in last month,Expert,Self-Serve Sam 2
Cust454,9,Do it myself,Yes,29/03/2025,once in last month,Expert,Self-Serve Sam 2
Cust455,8,Do it myself,No,30/03/2025,once in 6 months,Confident,Self-Serve Sam 1
Cust456,4,Do it with me,No,31/03/2025,once in 12 months,Reluctantly online,Tentative Terry 2
Cust457,3,Do it with me,No,01/04/2025,once in 6 months,Wlling & unable,Tentative Terry 1
Cust458,7,Do it with me,Yes,02/04/2025,once in 3 months,Basic digital skills,Learning Lerato 3
Cust459,4,Do it with me,Yes,03/04/2025,once in 6 months,Reluctantly online,Tentative Terry 2
Cust460,1,Do it for me,No,04/04/2025,once in 3 months,Never have never will,Digiphobe Doris 1
Cust461,9,Do it myself,Yes,05/04/2025,once in 3 months,Expert,Self-Serve Sam 2
Cust462,2,Do it for me,No,06/04/2025,once in 12 months,Was online but no longer,Digiphobe Doris 2
Cust463,9,Do it myself,Yes,07/04/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust464,9,Do it myself,Yes,08/04/2025,once in 12 months,Expert,Self-Serve Sam 2
Cust465,1,Do it for me,No,09/04/2025,once in last month,Never have never will,Digiphobe Doris 1
Cust466,6,Do it with me,Yes,10/04/2025,once in 6 months,Task specific,Learning Lerato 2
Cust467,9,Do it myself,Yes,11/04/2025,once in last month,Expert,Self-Serve Sam 2
Cust468,9,Do it myself,Yes,12/04/2025,once in last month,Expert,Self-Serve Sam 2
Cust469,8,Do it myself,No,13/04/2025,once in 12 months,Confident,Self-Serve Sam 1
Cust470,8,Do it myself,Yes,14/04/2025,once in 6 months,Confident,Self-Serve Sam 1
Cust471,3,Do it with me,No,15/04/2025,once in 12 months,Wlling & unable,Tentative Terry 1
Cust472,9,Do it myself,Yes,16/04/2025,once in last month,Expert,Self-Serve Sam 2
Cust473,1,Do it for me,No,17/04/2025,once in last month,Never have never will,Digiphobe Doris 1
Cust474,5,Do it with me,Yes,18/04/2025,once in 3 months,Learning the ropes,Learning Lerato 1
Cust475,6,Do it with me,Yes,19/04/2025,once in 6 months,Task specific,Learning Lerato 2
Cust476,4,Do it with me,No,20/04/2025,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust477,4,Do it with me,Yes,21/04/2025,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust478,8,Do it myself,Yes,22/04/2025,once in 6 months,Confident,Self-Serve Sam 1
Cust479,1,Do it for me,No,23/04/2025,once in 12 months,Never have never will,Digiphobe Doris 1
Cust480,9,Do it myself,Yes,24/04/2025,longer than 12 months,Expert,Self-Serve Sam 2
Cust481,5,Do it with me,Yes,25/04/2025,once in 6 months,Learning the ropes,Learning Lerato 1
Cust482,4,Do it with me,Yes,26/04/2025,once in 12 months,Reluctantly online,Tentative Terry 2
Cust483,3,Do it with me,No,27/04/2025,once in 6 months,Wlling & unable,Tentative Terry 1
Cust484,5,Do it with me,Yes,28/04/2025,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust485,7,Do it with me,Yes,29/04/2025,once in 12 months,Basic digital skills,Learning Lerato 3
Cust486,5,Do it with me,No,30/04/2025,once in 12 months,Learning the ropes,Learning Lerato 1
Cust487,5,Do it with me,No,01/05/2025,once in 6 months,Learning the ropes,Learning Lerato 1
Cust488,9,Do it myself,Yes,02/05/2025,once in 6 months,Expert,Self-Serve Sam 2
Cust489,2,Do it for me,No,03/05/2025,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust490,9,Do it myself,Yes,04/05/2025,once in 12 months,Expert,Self-Serve Sam 2
Cust491,2,Do it for me,No,05/05/2025,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust492,9,Do it myself,Yes,06/05/2025,longer than 12 months,Expert,Self-Serve Sam 2
Cust493,5,Do it with me,Yes,07/05/2025,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust494,9,Do it myself,Yes,08/05/2025,once in last month,Expert,Self-Serve Sam 2
Cust495,5,Do it with me,Yes,09/05/2025,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust496,5,Do it with me,Yes,10/05/2025,once in 6 months,Learning the ropes,Learning Lerato 1
Cust497,4,Do it with me,No,11/05/2025,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust498,2,Do it for me,No,12/05/2025,once in last month,Was online but no longer,Digiphobe Doris 2
Cust499,9,Do it myself,Yes,13/05/2025,longer than 12 months,Expert,Self-Serve Sam 2
Cust500,9,Do it myself,Yes,14/05/2025,once in 3 months,Expert,Self-Serve Sam 2
