Customer ID,Contact Date,Contact Channel,Number of JTBD,Interaction competence rating,Level of Support,Support Service Used,Deflection Provided,Digicare Case Open,Average CSAT,Deflection,JTBD,CSAT group
Cust238,25/08/2024,Social Media,1,Do it with me,Self help,Libraries Connected,No,No,2,screen share,Non-digital,Campaign
Cust239,26/08/2024,Social Media,4,Do it with me,Assisted digital,Self help,Yes,No,4,self help resources,Non-digital,Campaign
Cust240,27/08/2024,Phone,2,Refer to Digicare,Digicare,Self help,Yes,No,1,screen share,Digital,Libraries Connected
Cust241,28/08/2024,Phone,3,Do it myself,Self help,Self help,No,No,2,no deflection,Digital,Campaign
Cust242,29/08/2024,Webchat,4,Do it with me,Assisted digital,Libraries Connected,No,No,4,screen share,Digital,Campaign
Cust243,30/08/2024,Phone,4,Do it myself,Digicare,Assisted digital,Yes,No,4,screen share,Non-digital,Campaign
Cust244,31/08/2024,Webchat,1,Do it with me,Self help,Self help,Yes,No,5,no deflection,Digital,Book
Cust245,01/09/2024,Phone,3,Refer to Digicare,Assisted digital,Libraries Connected,Yes,No,5,no deflection,Digital,Book
Cust246,02/09/2024,Webchat,1,Do it myself,Digicare,Libraries Connected,No,No,2,no deflection,Non-digital,Campaign
Cust247,03/09/2024,Phone,3,Do it myself,Self help,Digicare,No,No,5,Other,Non-digital,Campaign
Cust248,04/09/2024,Phone,2,Do it myself,Assisted digital,Libraries Connected,No,No,3,Other,Digital,Libraries Connected
Cust249,05/09/2024,Webchat,4,Do it with me,Digicare,Self help,No,No,2,no deflection,Non-digital,Book
Cust250,06/09/2024,Webchat,4,Do it myself,Self help,Assisted digital,No,No,2,Other,Digital,Libraries Connected
Cust251,07/09/2024,Phone,3,Do it with me,Assisted digital,Libraries Connected,No,No,1,no deflection,Non-digital,Book
Cust252,08/09/2024,Phone,2,Do it myself,Digicare,Self help,Yes,No,2,no deflection,Non-digital,Book
Cust253,09/09/2024,Webchat,2,Do it myself,Self help,Assisted digital,No,No,1,no deflection,Digital,Libraries Connected
Cust254,10/09/2024,Phone,4,Do it with me,Assisted digital,Self help,Yes,No,5,self help resources,Digital,Book
Cust255,11/09/2024,Phone,1,Do it myself,Digicare,Digicare,Yes,No,2,no deflection,Digital,Campaign
Cust256,12/09/2024,Webchat,1,Do it with me,Self help,Self help,Yes,No,5,screen share,Digital,Campaign
Cust257,13/09/2024,Webchat,2,Do it myself,Assisted digital,Digicare,Yes,No,5,no deflection,Digital,Digicare
Cust258,14/09/2024,Phone,3,Do it with me,Digicare,Digicare,Yes,Yes,3,no deflection,Digital,Campaign
Cust259,15/09/2024,Phone,4,Do it with me,Self help,Digicare,Yes,Yes,2,no deflection,Non-digital,Digicare
Cust260,16/09/2024,Phone,2,Do it with me,Assisted digital,Digicare,No,No,4,screen share,Digital,Digicare
Cust261,17/09/2024,Phone,2,Do it myself,Digicare,Assisted digital,No,No,4,no deflection,Digital,Libraries Connected
Cust262,18/09/2024,Webchat,1,Do it with me,Self help,Digicare,No,No,2,Other,Digital,Campaign
Cust263,19/09/2024,Phone,1,Refer to Digicare,Assisted digital,Self help,No,No,4,screen share,Digital,Campaign
Cust264,20/09/2024,Phone,2,Do it myself,Digicare,Assisted digital,No,No,5,Other,Non-digital,Digicare
Cust265,21/09/2024,Phone,2,Do it with me,Self help,Assisted digital,Yes,No,2,Other,Non-digital,Libraries Connected
Cust266,22/09/2024,Phone,1,Do it myself,Assisted digital,Self help,No,No,3,screen share,Digital,Libraries Connected
Cust267,23/09/2024,Phone,2,Do it myself,Digicare,Libraries Connected,Yes,No,4,no deflection,Non-digital,Digicare
Cust268,24/09/2024,Phone,3,Do it myself,Self help,Libraries Connected,Yes,No,3,self help resources,Digital,Campaign
Cust269,25/09/2024,Phone,1,Do it with me,Assisted digital,Self help,Yes,No,2,Other,Digital,Book
Cust270,26/09/2024,Phone,1,Do it myself,Digicare,Digicare,Yes,Yes,5,no deflection,Digital,Book
Cust271,27/09/2024,Phone,2,Do it with me,Self help,Digicare,Yes,No,3,self help resources,Digital,Digicare
Cust272,28/09/2024,Phone,3,Do it myself,Assisted digital,Self help,Yes,No,3,screen share,Non-digital,Digicare
Cust273,29/09/2024,Phone,3,Do it with me,Digicare,Assisted digital,Yes,No,1,Other,Non-digital,Book
Cust274,30/09/2024,Phone,1,Refer to Digicare,Self help,Libraries Connected,No,No,4,no deflection,Non-digital,Book
Cust275,01/10/2024,Phone,4,Do it myself,Assisted digital,Self help,No,No,2,no deflection,Non-digital,Book
Cust276,02/10/2024,Phone,1,Do it myself,Digicare,Self help,Yes,Yes,5,screen share,Non-digital,Digicare
Cust277,03/10/2024,Webchat,4,Do it myself,Self help,Digicare,No,No,4,no deflection,Non-digital,Campaign
Cust278,04/10/2024,Phone,2,Do it myself,Assisted digital,Digicare,Yes,Yes,4,no deflection,Digital,Campaign
Cust279,05/10/2024,Webchat,3,Do it myself,Digicare,Assisted digital,Yes,Yes,2,no deflection,Non-digital,Campaign
Cust280,06/10/2024,Phone,3,Do it with me,Self help,Self help,No,No,3,screen share,Non-digital,Campaign
Cust281,07/10/2024,Phone,2,Do it myself,Assisted digital,Assisted digital,Yes,No,4,no deflection,Non-digital,Libraries Connected
Cust282,08/10/2024,Phone,4,Do it myself,Digicare,Libraries Connected,No,No,1,no deflection,Non-digital,Campaign
Cust283,09/10/2024,Phone,2,Do it with me,Self help,Libraries Connected,No,No,1,no deflection,Digital,Digicare
Cust284,10/10/2024,Phone,4,Do it with me,Assisted digital,Libraries Connected,No,No,3,no deflection,Non-digital,Digicare
Cust285,11/10/2024,Webchat,3,Do it myself,Digicare,Assisted digital,Yes,No,3,no deflection,Digital,Book
Cust286,12/10/2024,Phone,3,Do it myself,Self help,Assisted digital,Yes,No,4,screen share,Non-digital,Libraries Connected
Cust287,13/10/2024,Phone,1,Do it myself,Assisted digital,Digicare,Yes,No,3,no deflection,Non-digital,Book
Cust288,14/10/2024,Phone,1,Do it myself,Digicare,Assisted digital,No,Yes,1,no deflection,Digital,Book
Cust289,15/10/2024,Phone,3,Do it with me,Self help,Self help,Yes,No,3,no deflection,Digital,Libraries Connected
Cust290,16/10/2024,Phone,1,Do it with me,Assisted digital,Libraries Connected,Yes,No,3,no deflection,Non-digital,Libraries Connected
Cust291,17/10/2024,Phone,3,Do it myself,Digicare,Assisted digital,Yes,No,1,self help resources,Non-digital,Campaign
Cust292,18/10/2024,Phone,2,Do it with me,Self help,Digicare,Yes,No,3,no deflection,Digital,Campaign
Cust293,19/10/2024,Webchat,4,Refer to Digicare,Assisted digital,Assisted digital,No,Yes,5,no deflection,Digital,Campaign
Cust294,20/10/2024,Phone,2,Refer to Digicare,Digicare,Assisted digital,No,No,2,no deflection,Digital,Book
Cust295,21/10/2024,Phone,3,Do it with me,Self help,Libraries Connected,Yes,Yes,1,screen share,Non-digital,Book
Cust296,22/10/2024,Webchat,2,Do it myself,Assisted digital,Assisted digital,Yes,No,5,Other,Digital,Campaign
Cust297,23/10/2024,Phone,1,Do it with me,Digicare,Digicare,No,No,2,no deflection,Digital,Libraries Connected
Cust298,24/10/2024,Phone,1,Do it with me,Self help,Self help,Yes,No,4,no deflection,Digital,Book
Cust299,25/10/2024,Webchat,4,Do it myself,Assisted digital,Assisted digital,No,No,3,screen share,Digital,Digicare
Cust300,26/10/2024,Phone,4,Do it myself,Digicare,Self help,No,No,2,no deflection,Digital,Book
Cust301,27/10/2024,Webchat,3,Do it with me,Self help,Libraries Connected,No,No,5,screen share,Digital,Book
Cust302,28/10/2024,Phone,3,Do it with me,Assisted digital,Libraries Connected,No,No,5,Other,Digital,Digicare
Cust303,29/10/2024,Phone,3,Do it myself,Digicare,Assisted digital,No,No,5,no deflection,Digital,Book
Cust304,30/10/2024,Phone,1,Do it with me,Self help,Libraries Connected,No,No,5,self help resources,Non-digital,Digicare
Cust305,31/10/2024,Webchat,2,Do it myself,Assisted digital,Digicare,Yes,No,5,screen share,Digital,Campaign
Cust306,01/11/2024,Social Media,2,Do it myself,Digicare,Assisted digital,Yes,No,1,Other,Digital,Digicare
Cust307,02/11/2024,Social Media,3,Do it myself,Self help,Self help,No,No,5,Other,Digital,Libraries Connected
Cust308,03/11/2024,Social Media,1,Do it with me,Assisted digital,Self help,Yes,No,4,self help resources,Digital,Campaign
Cust309,04/11/2024,Social Media,3,Do it with me,Digicare,Digicare,No,No,5,no deflection,Digital,Libraries Connected
Cust310,05/11/2024,Social Media,3,Do it myself,Self help,Assisted digital,Yes,No,3,Other,Non-digital,Digicare
Cust311,06/11/2024,Social Media,1,Do it myself,Assisted digital,Libraries Connected,No,No,1,Other,Digital,Book
Cust312,07/11/2024,Social Media,4,Do it with me,Digicare,Libraries Connected,No,No,4,self help resources,Non-digital,Digicare
Cust313,08/11/2024,Social Media,1,Do it myself,Self help,Self help,No,Yes,1,no deflection,Non-digital,Libraries Connected
Cust314,09/11/2024,Social Media,3,Refer to Digicare,Assisted digital,Self help,Yes,No,5,screen share,Digital,Libraries Connected
Cust315,10/11/2024,Phone,3,Do it myself,Digicare,Self help,Yes,Yes,4,no deflection,Digital,Book
Cust316,11/11/2024,Webchat,3,Do it with me,Self help,Assisted digital,Yes,No,4,no deflection,Non-digital,Digicare
Cust317,12/11/2024,Phone,2,Do it with me,Assisted digital,Libraries Connected,Yes,No,5,self help resources,Digital,Digicare
Cust318,13/11/2024,Phone,4,Do it myself,Digicare,Assisted digital,No,No,2,self help resources,Digital,Digicare
Cust319,14/11/2024,Webchat,2,Do it myself,Self help,Digicare,No,No,2,no deflection,Digital,Campaign
Cust320,15/11/2024,Webchat,4,Do it myself,Assisted digital,Digicare,Yes,No,3,no deflection,Non-digital,Book
Cust321,16/11/2024,Webchat,3,Do it with me,Digicare,Libraries Connected,No,No,2,self help resources,Digital,Book
Cust322,17/11/2024,Phone,3,Do it myself,Self help,Self help,Yes,No,2,no deflection,Digital,Libraries Connected
Cust323,18/11/2024,Phone,2,Do it myself,Assisted digital,Digicare,No,Yes,1,no deflection,Digital,Libraries Connected
Cust324,19/11/2024,Webchat,1,Do it with me,Digicare,Digicare,Yes,No,2,Other,Digital,Book
Cust325,20/11/2024,Phone,2,Do it with me,Self help,Digicare,No,No,5,Other,Digital,Libraries Connected
Cust326,21/11/2024,Phone,4,Do it with me,Assisted digital,Libraries Connected,Yes,No,2,screen share,Non-digital,Campaign
Cust327,22/11/2024,Phone,4,Refer to Digicare,Digicare,Self help,No,No,3,Other,Digital,Campaign
Cust328,23/11/2024,Phone,1,Do it myself,Self help,Self help,No,No,1,Other,Non-digital,Libraries Connected
Cust329,24/11/2024,Phone,3,Do it myself,Assisted digital,Self help,Yes,No,5,self help resources,Digital,Campaign
Cust330,25/11/2024,Phone,3,Refer to Digicare,Digicare,Self help,Yes,Yes,3,no deflection,Digital,Digicare
Cust331,26/11/2024,Phone,2,Do it myself,Self help,Libraries Connected,No,No,2,screen share,Non-digital,Book
Cust332,27/11/2024,Phone,4,Refer to Digicare,Assisted digital,Self help,Yes,No,1,no deflection,Non-digital,Campaign
Cust333,28/11/2024,Phone,2,Do it myself,Digicare,Self help,No,No,5,no deflection,Non-digital,Libraries Connected
Cust334,29/11/2024,Phone,1,Do it with me,Self help,Assisted digital,No,No,4,no deflection,Digital,Campaign
Cust335,30/11/2024,Webchat,1,Do it myself,Assisted digital,Digicare,Yes,No,1,screen share,Digital,Book
Cust336,01/12/2024,Phone,2,Do it with me,Digicare,Libraries Connected,Yes,No,4,screen share,Digital,Book
Cust337,02/12/2024,Phone,2,Do it myself,Self help,Assisted digital,Yes,No,1,Other,Digital,Digicare
Cust338,03/12/2024,Webchat,2,Do it myself,Assisted digital,Self help,Yes,No,4,screen share,Non-digital,Campaign
Cust339,04/12/2024,Phone,1,Refer to Digicare,Digicare,Assisted digital,Yes,No,5,no deflection,Non-digital,Libraries Connected
Cust340,05/12/2024,Phone,1,Do it myself,Self help,Libraries Connected,Yes,No,1,screen share,Non-digital,Libraries Connected
Cust341,06/12/2024,Webchat,3,Do it with me,Assisted digital,Self help,No,No,2,screen share,Non-digital,Digicare
Cust342,07/12/2024,Webchat,4,Do it with me,Digicare,Assisted digital,Yes,No,2,self help resources,Digital,Book
Cust343,08/12/2024,Phone,4,Do it myself,Self help,Assisted digital,Yes,No,2,Other,Non-digital,Book
Cust344,09/12/2024,Phone,2,Do it with me,Assisted digital,Assisted digital,Yes,No,5,Other,Digital,Digicare
Cust345,10/12/2024,Phone,1,Do it myself,Digicare,Digicare,Yes,No,1,no deflection,Digital,Digicare
Cust346,11/12/2024,Webchat,4,Do it myself,Self help,Assisted digital,No,No,1,no deflection,Digital,Book
Cust347,12/12/2024,Phone,3,Do it with me,Assisted digital,Self help,Yes,No,2,no deflection,Non-digital,Book
Cust348,13/12/2024,Phone,2,Do it myself,Digicare,Self help,No,No,1,Other,Non-digital,Digicare
Cust349,14/12/2024,Phone,4,Do it with me,Self help,Self help,Yes,No,2,Other,Digital,Book
Cust350,15/12/2024,Webchat,1,Do it myself,Assisted digital,Self help,No,No,4,no deflection,Non-digital,Digicare
Cust351,16/12/2024,Webchat,2,Do it myself,Digicare,Digicare,Yes,No,5,no deflection,Non-digital,Digicare
Cust352,17/12/2024,Social Media,3,Do it with me,Self help,Libraries Connected,No,No,5,no deflection,Non-digital,Book
Cust353,18/12/2024,Social Media,1,Do it with me,Assisted digital,Libraries Connected,No,No,1,screen share,Digital,Campaign
Cust354,19/12/2024,Social Media,2,Do it with me,Digicare,Digicare,Yes,No,1,no deflection,Non-digital,Digicare
Cust355,20/12/2024,Social Media,1,Refer to Digicare,Self help,Self help,Yes,No,5,Other,Digital,Digicare
Cust356,21/12/2024,Social Media,2,Do it with me,Assisted digital,Self help,Yes,No,5,Other,Digital,Campaign
Cust357,22/12/2024,Social Media,2,Do it with me,Digicare,Libraries Connected,Yes,No,4,no deflection,Digital,Libraries Connected
Cust358,23/12/2024,Social Media,1,Do it myself,Self help,Self help,Yes,No,3,no deflection,Digital,Libraries Connected
Cust359,24/12/2024,Social Media,3,Do it with me,Assisted digital,Digicare,Yes,No,2,no deflection,Non-digital,Digicare
Cust360,25/12/2024,Social Media,4,Do it with me,Digicare,Assisted digital,Yes,No,1,self help resources,Non-digital,Book
Cust361,26/12/2024,Social Media,1,Do it myself,Self help,Libraries Connected,Yes,No,2,screen share,Non-digital,Digicare
Cust362,27/12/2024,Social Media,4,Do it with me,Assisted digital,Self help,Yes,No,1,screen share,Non-digital,Digicare
Cust363,28/12/2024,Phone,4,Do it with me,Digicare,Self help,Yes,No,2,no deflection,Digital,Campaign
Cust364,29/12/2024,Phone,1,Do it myself,Self help,Digicare,No,No,1,no deflection,Non-digital,Libraries Connected
Cust365,30/12/2024,Webchat,1,Do it myself,Assisted digital,Digicare,Yes,No,2,no deflection,Digital,Libraries Connected
Cust366,31/12/2024,Webchat,1,Do it with me,Digicare,Self help,Yes,No,3,no deflection,Digital,Book
Cust367,11/08/2024,Webchat,3,Do it myself,Self help,Libraries Connected,No,No,1,screen share,Non-digital,Book
Cust368,12/08/2024,Phone,2,Do it myself,Assisted digital,Libraries Connected,Yes,No,3,Other,Digital,Campaign
Cust369,13/08/2024,Phone,4,Do it myself,Digicare,Libraries Connected,Yes,No,2,no deflection,Digital,Campaign
Cust370,14/08/2024,Phone,3,Refer to Digicare,Self help,Libraries Connected,Yes,No,4,Other,Digital,Digicare
Cust371,15/08/2024,Phone,4,Do it with me,Assisted digital,Self help,No,No,2,no deflection,Non-digital,Libraries Connected
Cust372,16/08/2024,Phone,2,Do it with me,Digicare,Self help,Yes,No,4,no deflection,Non-digital,Libraries Connected
Cust373,17/08/2024,Webchat,1,Do it with me,Self help,Libraries Connected,Yes,No,2,no deflection,Digital,Digicare
Cust374,18/08/2024,Phone,4,Do it with me,Assisted digital,Self help,Yes,No,2,Other,Non-digital,Book
Cust375,19/08/2024,Webchat,2,Do it with me,Digicare,Libraries Connected,Yes,No,5,no deflection,Non-digital,Libraries Connected
Cust376,20/08/2024,Phone,3,Do it myself,Self help,Self help,Yes,No,3,Other,Digital,Book
Cust377,21/08/2024,Phone,3,Do it with me,Assisted digital,Assisted digital,No,No,4,no deflection,Digital,Book
Cust378,22/08/2024,Phone,3,Do it myself,Digicare,Self help,No,No,3,self help resources,Non-digital,Digicare
Cust379,23/08/2024,Webchat,1,Do it with me,Self help,Assisted digital,No,No,4,screen share,Non-digital,Campaign
Cust380,24/08/2024,Webchat,1,Do it with me,Assisted digital,Digicare,Yes,No,2,screen share,Non-digital,Campaign
Cust381,25/08/2024,Phone,3,Do it with me,Digicare,Self help,Yes,No,2,screen share,Non-digital,Book
Cust382,26/08/2024,Phone,1,Do it with me,Self help,Digicare,Yes,No,5,no deflection,Digital,Book
Cust383,27/08/2024,Webchat,1,Do it with me,Assisted digital,Digicare,Yes,No,1,no deflection,Digital,Campaign
Cust384,28/08/2024,Webchat,4,Do it myself,Digicare,Assisted digital,Yes,No,1,no deflection,Digital,Libraries Connected
Cust385,29/08/2024,Phone,1,Do it myself,Self help,Digicare,No,No,4,no deflection,Digital,Book
Cust386,30/08/2024,Webchat,1,Do it myself,Assisted digital,Assisted digital,Yes,No,3,screen share,Digital,Libraries Connected
Cust387,31/08/2024,Phone,2,Do it myself,Digicare,Digicare,No,No,1,no deflection,Digital,Libraries Connected
Cust388,01/09/2024,Webchat,3,Do it with me,Self help,Self help,Yes,Yes,1,screen share,Non-digital,Libraries Connected
Cust389,02/09/2024,Phone,4,Do it myself,Assisted digital,Assisted digital,Yes,No,5,no deflection,Non-digital,Book
Cust390,03/09/2024,Phone,1,Refer to Digicare,Digicare,Assisted digital,Yes,No,5,Other,Digital,Campaign
Cust391,04/09/2024,Phone,2,Refer to Digicare,Self help,Digicare,Yes,Yes,1,Other,Digital,Book
Cust392,05/09/2024,Phone,2,Do it with me,Assisted digital,Assisted digital,No,No,3,no deflection,Non-digital,Campaign
Cust393,06/09/2024,Phone,3,Do it with me,Digicare,Self help,No,No,5,no deflection,Digital,Libraries Connected
Cust394,07/09/2024,Phone,3,Do it myself,Self help,Digicare,Yes,No,4,screen share,Non-digital,Book
Cust395,08/09/2024,Webchat,1,Refer to Digicare,Assisted digital,Digicare,No,Yes,2,no deflection,Non-digital,Book
Cust396,09/09/2024,Webchat,3,Refer to Digicare,Digicare,Assisted digital,Yes,No,3,self help resources,Digital,Digicare
Cust397,10/09/2024,Phone,2,Do it myself,Self help,Digicare,Yes,Yes,4,no deflection,Digital,Campaign
Cust398,11/09/2024,Webchat,3,Do it with me,Assisted digital,Digicare,Yes,No,5,self help resources,Non-digital,Book
Cust399,12/09/2024,Phone,1,Do it myself,Digicare,Digicare,No,No,5,no deflection,Non-digital,Digicare
Cust400,13/09/2024,Webchat,1,Do it myself,Self help,Self help,No,No,4,Other,Non-digital,Book
Cust401,14/09/2024,Phone,3,Do it with me,Assisted digital,Self help,Yes,No,4,no deflection,Non-digital,Libraries Connected
Cust402,15/09/2024,Phone,3,Do it with me,Digicare,Self help,No,No,4,Other,Non-digital,Digicare
Cust403,16/09/2024,Phone,4,Do it with me,Self help,Libraries Connected,Yes,No,2,no deflection,Digital,Libraries Connected
Cust404,17/09/2024,Webchat,3,Do it with me,Assisted digital,Self help,Yes,No,1,screen share,Digital,Digicare
Cust405,18/09/2024,Phone,2,Refer to Digicare,Digicare,Digicare,No,No,3,self help resources,Non-digital,Book
Cust406,19/09/2024,Phone,3,Do it with me,Self help,Libraries Connected,Yes,No,3,no deflection,Non-digital,Book
Cust407,20/09/2024,Webchat,1,Do it myself,Assisted digital,Libraries Connected,No,No,1,no deflection,Non-digital,Digicare
Cust408,21/09/2024,Phone,2,Do it with me,Digicare,Self help,Yes,No,2,Other,Non-digital,Campaign
Cust409,22/09/2024,Phone,2,Do it with me,Self help,Digicare,No,No,2,Other,Digital,Campaign
Cust410,23/09/2024,Phone,3,Do it myself,Assisted digital,Self help,No,No,3,no deflection,Digital,Campaign
Cust411,24/09/2024,Webchat,4,Do it myself,Digicare,Assisted digital,Yes,No,5,no deflection,Non-digital,Digicare
Cust412,25/09/2024,Webchat,1,Do it with me,Self help,Assisted digital,No,Yes,2,no deflection,Non-digital,Campaign
Cust413,26/09/2024,Phone,4,Do it with me,Assisted digital,Libraries Connected,Yes,No,4,Other,Digital,Book
Cust414,27/09/2024,Phone,4,Do it with me,Digicare,Self help,No,Yes,5,screen share,Non-digital,Digicare
Cust415,28/09/2024,Phone,4,Do it myself,Self help,Digicare,No,No,3,screen share,Non-digital,Book
Cust416,29/09/2024,Webchat,1,Refer to Digicare,Assisted digital,Self help,No,No,4,no deflection,Digital,Campaign
Cust417,30/09/2024,Phone,3,Do it myself,Digicare,Assisted digital,Yes,No,2,no deflection,Digital,Book
Cust418,01/10/2024,Phone,3,Do it myself,Self help,Digicare,Yes,No,5,no deflection,Non-digital,Campaign
Cust419,02/10/2024,Phone,4,Do it with me,Assisted digital,Libraries Connected,Yes,No,1,no deflection,Digital,Digicare
Cust420,03/10/2024,Phone,1,Do it with me,Digicare,Libraries Connected,No,No,5,screen share,Digital,Book
Cust421,04/10/2024,Webchat,3,Do it myself,Self help,Libraries Connected,Yes,No,1,Other,Non-digital,Campaign
Cust422,05/10/2024,Webchat,3,Do it myself,Assisted digital,Assisted digital,No,No,2,no deflection,Non-digital,Digicare
Cust423,06/10/2024,Webchat,3,Do it myself,Digicare,Self help,No,Yes,1,screen share,Non-digital,Digicare
Cust424,07/10/2024,Webchat,1,Do it with me,Self help,Libraries Connected,Yes,No,3,self help resources,Non-digital,Digicare
Cust425,08/10/2024,Phone,2,Do it myself,Assisted digital,Libraries Connected,Yes,Yes,3,Other,Digital,Campaign
Cust426,09/10/2024,Phone,2,Do it with me,Digicare,Assisted digital,No,No,2,no deflection,Non-digital,Libraries Connected
Cust427,10/10/2024,Webchat,4,Refer to Digicare,Self help,Digicare,No,No,2,Other,Digital,Libraries Connected
Cust428,11/10/2024,Phone,2,Do it with me,Assisted digital,Digicare,Yes,Yes,2,screen share,Digital,Campaign
Cust429,12/10/2024,Webchat,1,Do it myself,Digicare,Digicare,Yes,Yes,1,no deflection,Digital,Digicare
Cust430,13/10/2024,Webchat,2,Refer to Digicare,Self help,Libraries Connected,No,No,1,screen share,Non-digital,Libraries Connected
Cust431,14/10/2024,Phone,1,Do it with me,Assisted digital,Libraries Connected,No,No,3,no deflection,Digital,Campaign
Cust432,15/10/2024,Phone,2,Do it with me,Digicare,Assisted digital,No,No,5,Other,Digital,Libraries Connected
Cust433,16/10/2024,Phone,3,Do it with me,Self help,Self help,No,No,3,Other,Digital,Libraries Connected
Cust434,17/10/2024,Phone,3,Do it myself,Assisted digital,Libraries Connected,Yes,No,3,Other,Digital,Libraries Connected
Cust435,18/10/2024,Phone,4,Do it myself,Digicare,Assisted digital,No,No,5,screen share,Non-digital,Libraries Connected
Cust436,19/10/2024,Webchat,3,Do it with me,Self help,Digicare,Yes,Yes,2,screen share,Non-digital,Digicare
Cust437,20/10/2024,Phone,3,Do it myself,Assisted digital,Assisted digital,Yes,No,4,screen share,Digital,Libraries Connected
Cust438,21/10/2024,Webchat,3,Do it with me,Digicare,Digicare,No,No,5,screen share,Digital,Libraries Connected
Cust439,22/10/2024,Phone,1,Do it with me,Self help,Assisted digital,Yes,No,5,screen share,Non-digital,Campaign
Cust440,23/10/2024,Phone,3,Do it myself,Assisted digital,Digicare,No,No,1,screen share,Digital,Book
Cust441,24/10/2024,Phone,3,Do it with me,Digicare,Digicare,No,No,3,screen share,Non-digital,Campaign
Cust442,25/10/2024,Phone,4,Do it myself,Self help,Assisted digital,Yes,No,3,screen share,Non-digital,Book
Cust443,26/10/2024,Phone,2,Do it myself,Assisted digital,Libraries Connected,No,No,4,screen share,Non-digital,Book
Cust444,27/10/2024,Webchat,3,Refer to Digicare,Digicare,Self help,No,No,4,self help resources,Non-digital,Digicare
Cust445,28/10/2024,Webchat,3,Do it with me,Self help,Assisted digital,Yes,No,5,screen share,Non-digital,Libraries Connected
Cust446,29/10/2024,Webchat,1,Do it myself,Assisted digital,Libraries Connected,Yes,No,4,no deflection,Non-digital,Campaign
Cust447,30/10/2024,Phone,3,Do it with me,Digicare,Assisted digital,No,No,1,Other,Non-digital,Book
Cust448,31/10/2024,Phone,4,Do it myself,Self help,Self help,No,Yes,1,no deflection,Non-digital,Campaign
Cust449,01/11/2024,Phone,2,Refer to Digicare,Assisted digital,Digicare,Yes,Yes,5,self help resources,Digital,Book
Cust450,02/11/2024,Phone,3,Do it with me,Digicare,Assisted digital,Yes,No,1,no deflection,Non-digital,Campaign
Cust451,03/11/2024,Phone,3,Do it with me,Self help,Self help,No,No,3,no deflection,Digital,Digicare
Cust452,04/11/2024,Phone,3,Do it myself,Assisted digital,Digicare,No,No,1,no deflection,Digital,Digicare
Cust453,05/11/2024,Webchat,4,Do it with me,Digicare,Assisted digital,Yes,No,3,no deflection,Non-digital,Digicare
Cust454,06/11/2024,Webchat,3,Do it myself,Self help,Self help,No,No,2,screen share,Digital,Campaign
Cust455,07/11/2024,Phone,3,Do it with me,Assisted digital,Digicare,No,No,2,Other,Non-digital,Campaign
Cust456,08/11/2024,Webchat,1,Do it with me,Digicare,Assisted digital,No,No,5,screen share,Digital,Campaign
Cust457,09/11/2024,Phone,1,Do it with me,Self help,Self help,Yes,No,2,screen share,Non-digital,Campaign
Cust458,10/11/2024,Webchat,3,Do it with me,Assisted digital,Libraries Connected,Yes,No,4,self help resources,Non-digital,Book
Cust459,11/11/2024,Webchat,3,Do it with me,Digicare,Self help,No,No,3,screen share,Digital,Campaign
Cust460,12/11/2024,Phone,1,Do it myself,Self help,Assisted digital,Yes,No,4,screen share,Digital,Book
Cust461,13/11/2024,Phone,4,Do it myself,Assisted digital,Self help,No,No,5,screen share,Non-digital,Book
Cust462,14/11/2024,Phone,3,Refer to Digicare,Digicare,Digicare,No,No,5,screen share,Digital,Campaign
Cust463,15/11/2024,Phone,4,Refer to Digicare,Self help,Self help,Yes,No,5,no deflection,Digital,Digicare
Cust464,16/11/2024,Phone,2,Do it with me,Assisted digital,Assisted digital,No,No,5,no deflection,Non-digital,Book
Cust465,17/11/2024,Webchat,1,Do it with me,Digicare,Self help,Yes,No,3,no deflection,Digital,Book
Cust466,18/11/2024,Phone,3,Refer to Digicare,Self help,Assisted digital,No,No,2,screen share,Non-digital,Libraries Connected
Cust467,19/11/2024,Phone,4,Refer to Digicare,Assisted digital,Assisted digital,Yes,No,1,no deflection,Digital,Libraries Connected
Cust468,20/11/2024,Phone,3,Do it with me,Digicare,Assisted digital,Yes,No,5,screen share,Non-digital,Digicare
Cust469,21/11/2024,Phone,2,Do it with me,Self help,Assisted digital,No,No,3,no deflection,Digital,Book
Cust470,22/11/2024,Webchat,1,Do it with me,Assisted digital,Assisted digital,Yes,No,1,self help resources,Non-digital,Book
Cust471,23/11/2024,Webchat,1,Do it with me,Digicare,Assisted digital,Yes,No,2,Other,Digital,Libraries Connected
Cust472,24/11/2024,Webchat,1,Do it with me,Self help,Assisted digital,Yes,No,3,no deflection,Digital,Campaign
Cust473,25/11/2024,Phone,1,Do it with me,Assisted digital,Digicare,No,No,2,no deflection,Non-digital,Campaign
Cust474,26/11/2024,Phone,3,Do it myself,Digicare,Digicare,Yes,No,5,no deflection,Digital,Libraries Connected
Cust475,27/11/2024,Phone,2,Do it myself,Self help,Libraries Connected,No,No,5,no deflection,Digital,Libraries Connected
Cust476,28/11/2024,Phone,3,Do it with me,Assisted digital,Libraries Connected,Yes,No,4,screen share,Non-digital,Campaign
Cust477,29/11/2024,Phone,2,Do it with me,Digicare,Self help,No,No,3,no deflection,Non-digital,Book
Cust478,30/11/2024,Phone,2,Do it myself,Self help,Self help,No,No,5,no deflection,Digital,Digicare
