Customer ID,Campaign ID,Campaign Channel,Date,Engagement Level,Engagement,Action Taken
Cust464,3,email,08/04/2025,1,Received Campaign,No action taken
Cust465,3,text,09/04/2025,3,Link clicked,No action taken
Cust466,2,email,10/04/2025,1,Received Campaign,No action taken
Cust467,2,email,11/04/2025,1,Received Campaign,No action taken
Cust468,1,text,12/04/2025,4,Action taken,contact us on webchat
Cust469,1,email,13/04/2025,3,Link clicked,No action taken
Cust470,1,email,14/04/2025,3,Link clicked,No action taken
Cust471,2,email,15/04/2025,1,Received Campaign,No action taken
Cust472,2,email,16/04/2025,3,Link clicked,No action taken
Cust473,3,email,17/04/2025,2,Text/email opened,No action taken
Cust474,1,email,18/04/2025,2,Text/email opened,No action taken
Cust475,2,text,19/04/2025,2,Text/email opened,No action taken
Cust476,2,email,20/04/2025,2,Text/email opened,No action taken
Cust477,2,text,21/04/2025,2,Text/email opened,No action taken
Cust478,3,text,22/04/2025,4,Action taken,complete a JTBD online
Cust479,1,email,23/04/2025,2,Text/email opened,No action taken
Cust480,2,email,24/04/2025,4,Action taken,log in to digital channels
Cust481,3,email,25/04/2025,4,Action taken,contact us on webchat
Cust482,3,text,26/04/2025,4,Action taken,contact us on webchat
Cust483,2,text,27/04/2025,4,Action taken,log in to digital channels
Cust484,2,email,28/04/2025,1,Received Campaign,No action taken
Cust485,1,email,29/04/2025,4,Action taken,complete a JTBD online
Cust486,1,text,30/04/2025,1,Received Campaign,No action taken
Cust487,2,email,01/05/2025,1,Received Campaign,No action taken
Cust488,3,text,02/05/2025,2,Text/email opened,No action taken
Cust489,3,text,03/05/2025,1,Received Campaign,No action taken
Cust490,2,email,04/05/2025,2,Text/email opened,No action taken
Cust491,1,text,05/05/2025,3,Link clicked,No action taken
Cust492,1,text,06/05/2025,4,Action taken,engage with self-help material
Cust493,1,text,07/05/2025,1,Received Campaign,No action taken
Cust494,3,text,08/05/2025,3,Link clicked,No action taken
Cust495,2,text,09/05/2025,3,Link clicked,No action taken
Cust496,3,text,10/05/2025,1,Received Campaign,No action taken
Cust497,3,text,11/05/2025,4,Action taken,log in to digital channels
Cust498,2,text,12/05/2025,4,Action taken,engage with self-help material
Cust499,1,email,13/05/2025,2,Text/email opened,No action taken
Cust500,3,email,14/05/2025,4,Action taken,engage with self-help material
